ID,estacion,Distance
1043,MCM,0.019412384
1044,MCM,0.018949316
1045,IZT,0.023363184
1046,BJU,0.014583236
1047,BJU,0.002642198
1048,HGM,0.020857426
1049,MCM,0.005597476
1050,CAM,0.026738258
1051,MER,0.007512359
1052,IBM,0.016470003
1053,BJU,0.014617909
1054,MCM,0.018988096
1055,MCM,0.025905947
1056,PED,0.042358218
1057,MCM,0.019307011
1058,MCM,0.009573154
1059,MCM,0.02614169
1060,MCM,0.008305001
1061,MCM,0.022045322
1062,MER,0.018121713
1063,MCM,0.002612858
1064,MCM,0.011122739
1065,MGH,0.018039261
1066,BJU,0.002275165
1067,MCM,0.022401477
1068,HGM,0.021309046
1069,HGM,0.024052691
1070,MGH,0.013408312
1071,UAX,0.022922867
1072,MER,0.019021226
1073,MCM,0.006847356
1074,MCM,0.01403135
1075,UAX,0.017915257
1076,MCM,0.008735556
1077,MGH,0.023991394
1078,MCM,0.00318253
1079,UIZ,0.044374685
1080,HGM,0.021408271
1081,MGH,0.019963631
1082,MCM,0.003269021
1083,IZT,0.022374872
1084,TEC,0.00483841
1085,MCM,0.003741993
1086,MCM,0.021684869
1087,HGM,0.014011195
1088,MCM,0.019085331
1089,MCM,0.002130663
1090,MCM,0.009583209
1091,MCM,0.012083275
1092,HGM,0.020571952
1093,MCM,0.011281832
1094,MCM,0.003173294
1095,DIC,0.001205488
1096,BJU,0.002255395
1097,SJA,0.012384281
1098,HGM,0.013988088
1099,MER,0.004639082
1100,MCM,0.01930764
1101,HGM,0.020789045
1102,MCM,0.003269001
1103,MCM,0.016883389
1104,DIC,0.004153617
1105,MCM,0.016239443
1106,MCM,0.021728596
1107,UAX,0.024862847
1108,COY,0.018210659
1109,CCA,0.040754481
1110,HGM,0.023117088
1111,UAX,0.037967197
1112,DIC,0.035666961
1113,IZT,0.020669203
1114,MER,0.005091189
1115,IZT,0.030392433
1116,MGH,0.016429472
1117,HGM,0.02090977
1118,MCM,0.009568766
1119,HGM,0.021845815
1120,MCM,0.018962601
1121,UAX,0.032253573
1122,MCM,0.003247302
1123,HGM,0.021233392
1124,MCM,0.022291625
1125,MCM,0.0193002
1126,BJU,0.023882659
1127,MCM,0.008297807
1128,SJA,0.012899553
1129,IZT,0.018656507
1130,MER,0.004432349
1131,HGM,0.0209365
1132,BJU,0.019937738
1133,MCM,0.008758945
1134,CCA,0.019717686
1135,HGM,0.023462105
1136,UIZ,0.033505751
1137,UIZ,0.021054497
1138,NEZ,0.023048934
1139,DIC,0.00406674
1140,SHA,0.01952881
1141,UIZ,0.020426159
1142,UIZ,0.028672004
1143,NEZ,0.06720727
1144,MCM,0.016518133
1145,MCM,0.010362406
1146,MCM,0.006650881
1147,HGM,0.018550675
1148,MCM,0.012051132
1149,HGM,0.021352681
